source_file_token,view,slice_id,frame_index,qc_valid,qc_reason,qc_ncc,qc_intensity_scale,qc_residual,rescale_status
,2CH,2ch_s11_7101,34,1,valid,0.9420985517149191,0.9943672517984394,0.16409301785257005,identity_without_rescale_tags
,2CH,2ch_s11_7101,35,1,valid,0.9588484948430879,1.0,0.1332028813280741,identity_without_rescale_tags
,2CH,2ch_s11_7101,36,1,valid,0.9625476690883824,1.0035810234609934,0.12210849721466843,identity_without_rescale_tags
,2CH,2ch_s11_7101,37,1,valid,0.9611875192956328,1.0,0.12679143225492576,identity_without_rescale_tags
,2CH,2ch_s11_7101,38,1,valid,0.9643029370088312,0.9993736599087042,0.13235475999442417,identity_without_rescale_tags
,2CH,2ch_s11_7101,39,1,valid,0.9521512359783256,1.0,0.1528441957896226,identity_without_rescale_tags
,2CH,2ch_s11_7101,40,1,valid,0.9331850388681219,1.0,0.1784457726347254,identity_without_rescale_tags
,2CH,2ch_s11_7101,41,1,valid,0.9019418643617436,1.0,0.2173402530742945,identity_without_rescale_tags
,2CH,2ch_s11_7101,42,1,valid,0.9007119955753058,0.9984767628019211,0.2169763754283095,identity_without_rescale_tags
,2CH,2ch_s11_7101,43,1,valid,0.8994516357958281,0.9965792296440761,0.2196621158952033,identity_without_rescale_tags
,2CH,2ch_s11_7101,44,1,valid,0.9054955155590415,0.9924528301886792,0.2025587341786101,identity_without_rescale_tags
,2CH,2ch_s11_7101,45,1,valid,0.9182561910782593,0.9924845254984567,0.1963986512583225,identity_without_rescale_tags
,2CH,2ch_s11_7101,46,1,valid,0.9433584193415251,0.9910466847348933,0.16105202086628087,identity_without_rescale_tags
,2CH,2ch_s11_7101,47,1,valid,0.942094600151193,0.9933616023228884,0.15893167441581044,identity_without_rescale_tags
,2CH,2ch_s11_7101,48,1,valid,0.9456133440837639,0.9920697808970392,0.14460826754623335,identity_without_rescale_tags
,2CH,2ch_s11_7101,49,1,valid,0.9548938704567081,0.9917615336677588,0.14342014246710136,identity_without_rescale_tags
